date,cold,flu,pneumonia,coronavirus
2020-01-01,0.14454,0.48434,0.4488,0.01699
2020-01-02,0.19508,0.85751,0.36471,0.01827
2020-01-03,0.19581,0.80443,0.46598,0.02845
2020-01-04,0.60343,0.86961,0.49571,0.02136
2020-01-05,0.20081,0.84152,0.41644,0.01927
2020-01-06,0.23081,1.1816,0.66088,0.03154
2020-01-07,0.20853,0.96233,0.5777,0.03927
2020-01-08,0.1949,0.81824,11.3932,0.02636
2020-01-09,0.1979,0.77115,8.93,39.62181
2020-01-10,0.17854,0.72197,0.62352,11.13921
2020-01-11,0.15872,0.5578,0.66398,0.50434
2020-01-12,0.16199,0.50962,0.42062,0.21144
2020-01-13,0.17744,0.83315,0.56871,0.19244
2020-01-14,0.16708,0.7147,0.49453,0.25108
2020-01-15,0.15999,0.5947,0.48116,0.15535
2020-01-16,0.16754,0.5917,0.79143,0.38498
2020-01-17,0.1659,0.56916,0.79361,0.55043
2020-01-18,0.14345,0.42089,0.55216,0.26262
2020-01-19,0.15217,0.39953,0.61598,0.32662
2020-01-20,0.19217,0.70343,3.63716,20.6961
2020-01-21,0.22462,0.59789,4.31987,35.33284
2020-01-22,0.23808,0.56661,3.66416,29.74474
2020-01-23,0.30308,0.55625,3.18035,100
2020-01-24,0.34689,0.40226,2.48156,86.11541
2020-01-25,0.70888,0.39744,3.40926,62.84847
2020-01-26,0.96569,0.40126,3.43989,39.62772
2020-01-27,1.39513,0.50253,4.38777,57.07446
2020-01-28,1.56922,0.64298,4.5434,72.63073
2020-01-29,1.19978,0.49207,2.73,52.06261
2020-01-30,0.98978,0.44953,2.17811,45.93889
2020-01-31,1.35841,0.84061,2.1802,58.4187
2020-02-01,1.29296,0.79288,1.44032,41.5073
2020-02-02,1.4925,0.45298,1.37923,41.73647
2020-02-03,1.20932,0.49516,1.33886,50.1994
2020-02-04,1.06169,0.37907,0.99397,37.28806
2020-02-05,1.09323,0.34444,0.85588,35.23094
2020-02-06,1.03724,0.31644,0.79524,39.3959
2020-02-07,0.91715,0.25808,0.80733,31.71404
2020-02-08,0.89597,0.18081,0.53789,40.46614
2020-02-09,0.77052,0.17208,0.46189,36.07691
2020-02-10,0.63816,0.21499,0.50871,52.11234
2020-02-11,0.5338,0.17072,0.40544,18.13918
2020-02-12,0.47862,0.15281,0.37889,15.90997
2020-02-13,0.38444,0.13999,0.37753,15.08472
2020-02-14,0.32153,0.11808,0.2769,16.94803
2020-02-15,0.35944,0.10026,0.25471,10.34468
2020-02-16,0.35171,0.0899,0.35953,9.79906
2020-02-17,0.32426,0.12045,0.45144,10.98521
2020-02-18,0.32108,0.11963,1.00833,14.97945
2020-02-19,0.59207,0.13172,0.96769,40.75986
2020-02-20,0.98306,0.17026,1.15151,59.21885
2020-02-21,1.42804,0.17808,1.17051,72.15665
2020-02-22,1.91594,0.19472,1.27032,85.23907
2020-02-23,1.94203,0.19326,1.15841,82.90014
2020-02-24,1.78603,0.22708,1.17887,79.89478
2020-02-25,1.67058,0.20181,1.02206,79.95441
2020-02-26,1.42177,0.19281,0.87142,71.26268
2020-02-27,1.2255,0.18535,0.75252,71.07204
2020-02-28,1.24941,0.16544,0.6417,66.20619
2020-02-29,1.3085,0.16108,0.52989,61.04053
2020-03-01,1.23605,0.13754,0.44589,56.20422
2020-03-02,0.8816,0.13345,0.4408,60.86853
2020-03-03,0.67934,0.11917,0.39853,47.17367
2020-03-04,0.82579,0.1079,0.35671,39.84053
2020-03-05,0.64916,0.09745,0.31726,33.24218
2020-03-06,0.58625,0.09163,0.28071,29.61647
2020-03-07,0.71743,0.0769,0.22762,26.90492
2020-03-08,0.58752,0.06717,0.20553,26.4902
2020-03-09,0.45435,0.09263,0.23962,29.79228
2020-03-10,0.46934,0.09108,0.28635,28.49514
2020-03-11,0.70143,0.08945,0.30208,24.02346
2020-03-12,0.55771,0.10008,0.26335,20.56511
2020-03-13,0.40744,0.07808,0.22799,19.29851
2020-03-14,0.50816,0.0689,0.19108,16.62577
2020-03-15,5.0273,0.06754,0.16644,14.92164
2020-03-16,0.52925,0.12036,0.20826,16.8914
2020-03-17,0.49134,0.2749,0.24172,14.70828
2020-03-18,0.44625,0.15999,0.56771,13.9044
2020-03-19,0.47171,0.10754,1.10896,18.50553
2020-03-20,0.44453,0.14426,0.88197,13.56359
2020-03-21,0.4738,0.09381,0.28426,11.28111
2020-03-22,0.94142,0.07108,0.20372,11.1433
2020-03-23,0.36689,0.09354,0.24172,11.56656
2020-03-24,0.29562,0.0739,0.19799,10.87394
2020-03-25,0.29508,0.06099,0.18535,10.51795
2020-03-26,0.27471,0.06699,0.16899,10.38105
2020-03-27,0.28517,0.07836,0.17272,10.15869
2020-03-28,0.32717,0.06272,0.1399,10.25105
2020-03-29,0.32462,0.06754,0.12863,8.86464
2020-03-30,0.31962,0.06354,0.1789,8.6911
2020-03-31,0.30762,0.05954,0.18817,8.30075
2020-04-01,0.2289,0.06018,0.1709,7.70922
2020-04-02,0.22862,0.05527,0.16108,7.50622
2020-04-03,0.22453,0.05118,0.15517,7.44741
2020-04-04,0.26708,0.0549,0.1209,6.04172
2020-04-05,0.26281,0.04918,0.11436,5.55301
2020-04-06,0.20717,0.05763,0.14026,10.90885
2020-04-07,0.24626,0.07227,0.15017,6.23063
2020-04-08,0.20463,0.04999,0.13172,5.6701
2020-04-09,0.1729,0.04672,0.13463,5.61237
2020-04-10,0.18881,0.04263,0.11526,6.2549
2020-04-11,0.20763,0.07472,0.09336,5.82991
2020-04-12,0.19608,0.03545,0.10054,5.00848
2020-04-13,0.17454,0.05072,0.12526,5.32111
2020-04-14,0.22717,0.04308,0.12126,5.00666
2020-04-15,0.21744,0.03918,0.09008,4.97503
2020-04-16,0.15463,0.04427,0.1119,5.45701
2020-04-17,0.16563,0.04608,0.11026,4.7484
2020-04-18,0.17654,0.02872,0.07627,4.22987
2020-04-19,0.17354,0.03299,0.0889,4.90394
2020-04-20,0.1319,0.04145,0.12126,5.54437
2020-04-21,0.13135,0.04099,0.10872,4.68531
2020-04-22,0.14308,0.04836,0.11345,4.73403
2020-04-23,0.13854,0.06317,0.11972,4.52131
2020-04-24,0.12235,0.05308,0.1129,4.51768
2020-04-25,0.12781,0.02709,0.08672,4.13405
2020-04-26,0.13363,0.03263,0.08136,3.95342
2020-04-27,0.11226,0.04427,0.1039,4.11033
2020-04-28,0.11481,0.03981,0.10336,3.73088
2020-04-29,0.10781,0.04163,0.09136,3.78952
